timestamp,label,conf,x1,y1,x2,y2,cx,cy,depth_rel
1760841312.447062,person,0.9029,251,213,593,479,422,346,
1760841312.447062,bottle,0.4827,12,222,45,318,28,270,
1760841312.447062,suitcase,0.4263,1,401,161,479,81,440,
1760841312.447062,bottle,0.3571,38,241,63,313,50,277,
1760841312.447062,car,0.3042,0,201,111,255,55,228,
1760841312.447062,book,0.2765,588,362,640,395,614,378,
1760841312.5704362,person,0.8900,247,213,594,479,420,346,
1760841312.5704362,bottle,0.5462,13,222,46,318,29,270,
1760841312.5704362,bottle,0.4933,37,227,64,313,50,270,
1760841312.5704362,suitcase,0.4217,3,398,161,479,82,438,
1760841312.5704362,book,0.3199,588,363,640,396,614,379,
1760841312.5704362,car,0.2544,0,199,135,254,67,226,
1760841312.702568,person,0.9026,249,213,593,479,421,346,
1760841312.702568,bottle,0.6120,12,221,46,319,29,270,
1760841312.702568,bottle,0.4753,37,227,64,313,50,270,
1760841312.702568,suitcase,0.4525,0,400,161,479,80,439,
1760841312.702568,car,0.4048,0,200,112,255,56,227,
1760841312.8354657,person,0.9082,250,212,592,479,421,345,
1760841312.8354657,car,0.3304,0,201,112,256,56,228,
1760841312.8354657,suitcase,0.3208,1,401,164,479,82,440,
1760841312.8354657,bottle,0.3101,13,222,45,318,29,270,
1760841312.8354657,book,0.2732,588,362,640,396,614,379,
1760841312.9567976,person,0.9024,250,213,593,479,421,346,
1760841312.9567976,car,0.3896,0,202,110,255,55,228,
1760841312.9567976,suitcase,0.3733,0,401,161,479,80,440,
1760841312.9567976,bottle,0.3392,12,221,46,319,29,270,
1760841313.0678873,person,0.9048,249,213,594,479,421,346,
1760841313.0678873,suitcase,0.3719,1,401,163,479,82,440,
1760841313.0678873,car,0.3572,0,201,110,255,55,228,
1760841313.1762938,person,0.9053,251,213,593,479,422,346,
1760841313.1762938,bottle,0.6051,13,222,45,319,29,270,
1760841313.1762938,bottle,0.4972,38,240,64,313,51,276,
1760841313.1762938,suitcase,0.2779,1,401,161,479,81,440,
1760841313.1762938,book,0.2739,588,362,640,396,614,379,
1760841313.2822483,person,0.9041,252,213,593,479,422,346,
1760841313.2822483,bottle,0.4550,11,223,45,319,28,271,
1760841313.2822483,suitcase,0.4409,4,400,161,479,82,439,
1760841313.2822483,car,0.3922,0,200,112,255,56,227,
1760841313.2822483,bottle,0.3684,37,241,63,312,50,276,
1760841313.3898277,person,0.9045,251,212,593,479,422,345,
1760841313.3898277,bottle,0.5526,12,222,45,319,28,270,
1760841313.3898277,bottle,0.3532,37,236,64,312,50,274,
1760841313.3898277,car,0.3406,0,201,111,254,55,227,
1760841313.3898277,suitcase,0.3362,6,397,161,479,83,438,
1760841313.493379,person,0.9082,251,213,593,479,422,346,
1760841313.493379,car,0.3510,0,201,112,255,56,228,
1760841313.493379,suitcase,0.3430,0,399,161,479,80,439,
1760841313.493379,bottle,0.2823,38,241,65,312,51,276,
1760841313.493379,bottle,0.2737,12,222,46,316,29,269,
1760841313.5994725,person,0.9033,252,213,593,479,422,346,
1760841313.5994725,bottle,0.5160,12,223,45,319,28,271,
1760841313.5994725,bottle,0.4548,36,239,63,313,49,276,
1760841313.5994725,car,0.3176,0,201,113,255,56,228,
1760841313.5994725,book,0.2615,588,363,640,395,614,379,
1760841313.7202363,person,0.9128,253,213,593,479,423,346,
1760841313.7202363,bottle,0.4652,13,222,45,319,29,270,
1760841313.7202363,suitcase,0.3441,0,399,161,479,80,439,
1760841313.7202363,bottle,0.3091,37,234,64,313,50,273,
1760841313.7202363,bottle,0.2910,161,223,188,293,174,258,
1760841313.8591385,person,0.9054,249,213,592,479,420,346,
1760841313.8591385,car,0.3831,0,201,112,256,56,228,
1760841313.8591385,suitcase,0.3477,0,402,161,479,80,440,
1760841313.989531,person,0.9021,251,213,593,479,422,346,
1760841313.989531,suitcase,0.4291,0,400,161,479,80,439,
1760841313.989531,bottle,0.4132,13,223,45,319,29,271,
1760841313.989531,book,0.2810,588,362,640,395,614,378,
1760841314.1108408,person,0.9045,253,213,593,479,423,346,
1760841314.1108408,bottle,0.6421,11,223,45,319,28,271,
1760841314.1108408,bottle,0.4692,38,241,63,312,50,276,
1760841314.1108408,suitcase,0.3925,6,396,161,479,83,437,
1760841314.1108408,car,0.3187,0,201,107,254,53,227,
1760841314.2166185,person,0.9081,252,213,592,479,422,346,
1760841314.2166185,bottle,0.5609,12,223,45,319,28,271,
1760841314.2166185,bottle,0.4338,37,242,63,312,50,277,
1760841314.2166185,suitcase,0.3795,0,400,161,479,80,439,
1760841314.3264523,person,0.9083,251,213,593,479,422,346,
1760841314.3264523,car,0.4290,0,200,112,255,56,227,
1760841314.3264523,suitcase,0.3125,0,400,161,479,80,439,
1760841314.3264523,book,0.2939,588,362,640,396,614,379,
1760841314.4283717,person,0.9062,252,213,592,479,422,346,
1760841314.4283717,bottle,0.3705,10,221,45,319,27,270,
1760841314.4283717,car,0.3705,0,202,109,255,54,228,
1760841314.4283717,bottle,0.2852,37,231,64,313,50,272,
1760841314.4283717,suitcase,0.2708,1,402,164,479,82,440,
1760841314.5370493,person,0.9082,250,213,593,479,421,346,
1760841314.5370493,suitcase,0.3651,1,400,161,479,81,439,
1760841314.5370493,bottle,0.3341,36,238,64,312,50,275,
1760841314.5370493,bottle,0.3122,13,222,45,318,29,270,
1760841314.5370493,book,0.2891,588,362,640,395,614,378,
1760841314.643589,person,0.9119,253,213,592,479,422,346,
1760841314.643589,suitcase,0.3254,0,400,161,479,80,439,
1760841314.643589,car,0.3051,0,201,112,254,56,227,
1760841314.643589,bottle,0.2918,13,223,45,318,29,270,
1760841314.643589,bottle,0.2808,37,241,63,313,50,277,
